# Данные наблюдения относительно объемного веса nu (г/см^3)
# при влажности 10% и модуля упругости E (кг/см^2) при сжатии
# вдоль волокон древисины резонансной ели
nu,E
480,153.3
510,129.4
426,119.0
482,139.9
393,103.2
510,162.3
403,123.9
506,158.4
393,122.8
442,115.4
411,112.9
514,153.6
525,156.5
543,155.4
412,116.3
449,124.5
482,136.4
569,157.4
484,147.5
472,134.2
453,124.2
422,117.9
320,64.5
547,164.4
408,110.0
331,74.1
467,113.0
545,145.3
396,83.8
351,102.9
503,148.5
402,120.8
542,146.1
437,124.3
453,119.5
386,105.8
434,122.3
418,118.4
391,107.5
399,100.0
486,139.4
421,124.2
496,143.1
463,121.2
508,159.0
419,105.3
434,108.7
440,126.7
405,103.6
434,140.4
344,86.8
415,119.7
463,136.7
475,143.6
463,144.9
392,82.7
452,140.5
504,143.8
443,122.9
461,138.6
340,85.1
438,134.9
523,148.7
416,120.5
483,143.4
440,128.5
423,131.1
386,95.5
321,86.1
433,131.5
351,89.0
481,148.3
465,127.7
390,108.1
463,129.2
468,128.9
488,134.1
443,137.4
505,155.8
395,109.1
474,132.5
490,139.9
396,90.1
362,97.9
566,175.7
418,109.3
502,132.5
500,155.5
359,71.9
443,135.7
421,118.0
433,128.2
514,174.6
320,72.6
406,113.8
465,140.9
487,146.0
532,158.7
330,71.1
438,134.1
593,187.4
445,124.7
518,154.0
496,141.7
473,136.4
522,154.5
547,154.7
560,169.8
412,127.8
444,130.0
437,121.8
462,138.8
438,122.2
406,110.1
413,106.7
458,121.7
408,117.0
480,153.9
573,156.5
518,144.4
394,112.1
440,105.7
443,121.9
452,131.0
452,116.1
541,146.8
446,130.3
510,140.6
429,120.9
440,126.7
441,140.8
422,108.6
397,106.8
424,119.0
437,129.2
397,108.6
483,147.0
428,131.6
442,126.2
426,129.1
458,128.0
463,125.0
418,118.6
407,118.5
499,144.5
422,122.9
399,95.8
436,114.3
468,128.6
503,149.9
421,115.1
515,155.8
512,169.9
473,137.9
518,151.3
576,166.4
448,125.9
521,154.9
471,143.9
398,109.0
446,144.0
400,114.6
457,126.4
446,128.4
440,133.1
497,147.3
513,159.3
480,117.7
457,103.6
458,133.5
514,161.8
472,146.3
372,81.7
536,181.0
498,144.5
376,112.8
470,124.0
377,97.8
427,120.1
382,98.8
371,91.9
466,130.3
471,119.7
439,119.2
362,111.7
480,114.0
469,131.5
410,110.5
438,120.7
498,145.5
429,112.9
623,195.7
422,115.7
448,125.6
448,121.9
481,135.2
566,168.5
376,103.1
418,125.7
498,164.0
576,170.1
507,142.4
437,145.1
462,135.7
414,113.5
431,125.0
424,94.3
513,163.6
428,130.3
541,162.3
423,130.8
516,132.6
460,140.7
458,130.7
481,137.3
544,169.6
391,98.2
440,113.0
441,126.1
522,143.8
448,137.7
366,93.6
383,109.7
502,122.6
430,104.3
382,98.1
490,134.4
345,95.9
525,148.3
451,124.3
430,95.3
477,139.7
511,149.5
474,122.6
432,123.0
434,118.6
523,152.6
421,126.9
467,140.5
369,84.3
464,131.3
477,135.8
462,125.2
525,165.9
478,126.6
591,178.5
447,117.5
470,146.7
562,175.9
475,155.7
434,110.5
523,156.8
482,150.1
436,117.9
540,156.7
436,116.7
392,106.6
495,150.9
394,117.7
441,122.8
447,106.2
521,139.6
426,128.2
496,155.3
401,100.1
501,130.4
353,62.6
468,141.2
525,162.1
493,154.5
352,84.9
481,132.7
411,120.7
493,129.7
378,103.8
377,96.1
433,130.0
400,106.3
503,134.7
510,153.9
353,98.0
504,145.3
477,146.0
421,107.9
452,128.2
382,113.9
448,137.3
503,146.6
417,124.3
528,163.4
475,132.0
483,130.3
452,119.7
525,145.3
523,172.8
408,109.0
547,179.0
404,112.0
437,115.1
502,137.2
340,93.5
572,180.9
443,141.6
409,116.7
459,136.7
437,118.4
492,137.5
442,123.4
331,84.6
506,153.5
388,105.6
352,87.7
421,117.8
438,122.2
465,140.7
517,151.1
478,136.6
428,106.5
379,94.6
482,141.2
453,131.2
466,137.9
548,162.3
409,121.0
407,110.5
453,126.4
383,107.4
448,123.3
428,113.7
423,115.9
438,131.4
435,131.6
480,146.1
413,110.8
468,142.0
453,138.2
482,148.2
399,73.4
371,89.2
500,136.6
451,128.6
532,160.6
438,127.0
412,117.9
423,104.1
458,104.7
427,125.8
460,136.8
364,100.1
470,143.9
437,129.4
510,124.1
538,165.0
467,135.1
485,138.6
461,134.9
405,107.5
460,122.4
498,144.3
406,112.4
493,151.2
471,147.1
424,117.1
458,124.4
426,121.1
460,124.5
438,126.7
358,98.3
415,107.1
550,147.9
479,138.7
362,84.3
489,149.8
377,96.0
459,145.4
457,127.7
437,133.7
472,135.6
472,122.6
418,131.4
465,114.8
498,139.3
585,177.7
407,118.0
505,137.5
390,91.4
557,151.9
591,156.9
450,122.3
546,177.0
454,131.1
553,159.1
544,166.7
463,129.1
411,115.2
464,143.2
444,121.4
493,149.7
476,143.0
448,125.0
