nu,E
460,124.5
525,148.3
503,146.6
482,148.2
470,124.0
400,114.6
398,109.0
514,174.6
518,154.0
383,109.7
412,117.9
320,64.5
473,137.9
438,134.1
359,71.9
569,157.4
423,115.9
460,140.7
372,81.7
383,107.4
409,116.7
444,130.0
463,136.7
482,150.1
394,112.1
434,118.6
518,151.3
522,143.8
511,149.5
437,124.3
352,87.7
406,112.4
448,125.9
493,129.7
468,128.9
345,95.9
523,152.6
498,144.3
482,139.9
487,146.0
331,84.6
416,120.5
358,98.3
463,144.9
462,138.8
413,110.8
506,153.5
465,140.9
411,112.9
451,124.3
466,130.3
433,130.0
492,137.5
503,148.5
451,128.6
415,107.1
459,145.4
442,123.4
424,117.1
397,108.6
414,113.5
437,129.2
512,169.9
525,165.9
546,177.0
422,122.9
495,150.9
452,131.0
465,140.7
391,107.5
426,128.2
482,136.4
428,131.6
510,140.6
478,126.6
421,115.1
510,153.9
351,102.9
493,149.7
411,115.2
422,108.6
402,120.8
438,126.7
485,138.6
496,155.3
453,126.4
377,96.1
540,156.7
502,137.2
408,110.0
417,124.3
474,132.5
480,153.9
483,130.3
472,135.6
477,146.0
378,103.8
576,170.1
452,116.1
543,155.4
538,165.0
523,172.8
434,108.7
458,128.0
