nu,rf
321,0.01
351,0.01
352,0.01
362,0.01
378,0.01
379,0.01
382,0.01
386,0.01
390,0.01
394,0.02
407,0.01
408,0.01
409,0.01
418,0.03
421,0.01
422,0.02
423,0.01
424,0.01
428,0.01
429,0.01
431,0.01
433,0.01
434,0.02
437,0.01
438,0.01
439,0.01
440,0.01
441,0.01
443,0.01
445,0.01
446,0.02
447,0.01
448,0.01
450,0.01
457,0.01
458,0.01
459,0.01
460,0.03
461,0.01
462,0.01
463,0.01
464,0.02
465,0.03
468,0.03
471,0.01
472,0.02
473,0.01
474,0.01
475,0.01
478,0.02
480,0.02
481,0.01
482,0.03
483,0.01
489,0.01
490,0.01
492,0.01
497,0.01
498,0.01
502,0.02
503,0.01
504,0.01
506,0.01
507,0.01
510,0.01
513,0.01
518,0.01
521,0.02
523,0.01
525,0.01
532,0.02
544,0.01
550,0.01
560,0.01
566,0.02
569,0.01
593,0.01
623,0.01
