nu,af,rf
84.9,1,0.01
86.1,1,0.01
89.0,1,0.01
91.4,1,0.01
94.6,1,0.01
98.8,1,0.01
103.8,1,0.01
104.7,1,0.01
105.8,1,0.01
108.6,1,0.01
109.3,1,0.01
110.0,1,0.01
110.5,1,0.01
111.7,1,0.01
112.1,1,0.01
112.9,1,0.01
114.8,1,0.01
115.1,1,0.01
115.9,1,0.01
116.7,1,0.01
117.5,1,0.01
117.7,2,0.02
117.9,1,0.01
118.6,1,0.01
119.0,1,0.01
119.2,1,0.01
119.7,1,0.01
122.2,1,0.01
122.3,2,0.02
122.4,1,0.01
122.6,1,0.01
122.8,1,0.01
122.9,1,0.01
124.7,1,0.01
125.0,1,0.01
126.4,1,0.01
126.6,1,0.01
126.7,1,0.01
127.7,1,0.01
128.4,1,0.01
128.9,1,0.01
129.2,1,0.01
129.4,1,0.01
130.3,2,0.02
131.3,1,0.01
131.4,1,0.01
131.5,1,0.01
132.5,2,0.02
135.2,1,0.01
135.6,1,0.01
136.4,1,0.01
136.6,1,0.01
136.8,1,0.01
137.2,1,0.01
137.5,1,0.01
137.7,1,0.01
137.9,1,0.01
138.6,1,0.01
139.6,1,0.01
139.9,1,0.01
140.4,1,0.01
140.6,1,0.01
140.7,2,0.02
140.9,1,0.01
141.2,2,0.02
142.0,1,0.01
142.4,1,0.01
143.2,1,0.01
143.6,1,0.01
144.0,1,0.01
144.4,1,0.01
145.3,1,0.01
145.4,1,0.01
146.1,1,0.01
147.3,1,0.01
147.9,1,0.01
148.2,1,0.01
148.3,1,0.01
148.5,1,0.01
149.8,1,0.01
152.6,1,0.01
153.5,1,0.01
154.9,1,0.01
157.4,1,0.01
158.7,1,0.01
159.3,1,0.01
160.6,1,0.01
164.0,1,0.01
168.5,1,0.01
169.6,1,0.01
169.8,1,0.01
175.7,1,0.01
187.4,1,0.01
195.7,1,0.01
