E,af
84.9,1
86.1,1
89.0,1
91.4,1
94.6,1
98.8,1
103.8,1
104.7,1
105.8,1
108.6,1
109.3,1
110.0,1
110.5,1
111.7,1
112.1,1
112.9,1
114.8,1
115.1,1
115.9,1
116.7,1
117.5,1
117.7,2
117.9,1
118.6,1
119.0,1
119.2,1
119.7,1
122.2,1
122.3,2
122.4,1
122.6,1
122.8,1
122.9,1
124.7,1
125.0,1
126.4,1
126.6,1
126.7,1
127.7,1
128.4,1
128.9,1
129.2,1
129.4,1
130.3,2
131.3,1
131.4,1
131.5,1
132.5,2
135.2,1
135.6,1
136.4,1
136.6,1
136.8,1
137.2,1
137.5,1
137.7,1
137.9,1
138.6,1
139.6,1
139.9,1
140.4,1
140.6,1
140.7,2
140.9,1
141.2,2
142.0,1
142.4,1
143.2,1
143.6,1
144.0,1
144.4,1
145.3,1
145.4,1
146.1,1
147.3,1
147.9,1
148.2,1
148.3,1
148.5,1
149.8,1
152.6,1
153.5,1
154.9,1
157.4,1
158.7,1
159.3,1
160.6,1
164.0,1
168.5,1
169.6,1
169.8,1
175.7,1
187.4,1
195.7,1
