nu,E
0.53,0.454
0.411,0.359
0.758,0.569
0.477,0.505
0.811,0.755
0.583,0.563
0.52,0.467
0.662,0.494
0.103,0.0
0.334,0.298
0.613,0.619
0.404,0.343
0.374,0.501
0.334,0.214
0.821,0.654
0.391,0.31
0.384,0.402
0.464,0.485
0.099,0.037
0.228,0.059
0.321,0.42
0.189,0.171
0.662,0.632
0.242,0.296
0.606,0.545
0.394,0.377
0.477,0.27
0.321,0.22
0.321,0.304
0.477,0.386
0.417,0.294
0.371,0.421
0.46,0.468
0.202,0.125
0.699,0.683
0.533,0.571
0.5,0.34
0.699,0.666
0.503,0.478
0.675,0.572
0.636,0.671
0.556,0.586
0.507,0.43
0.192,0.088
0.5,0.458
0.738,0.764
0.616,0.519
0.291,0.287
0.586,0.714
0.487,0.515
0.901,0.925
0.669,0.611
0.52,0.376
0.387,0.337
0.338,0.28
0.288,0.227
0.215,0.189
0.354,0.41
0.791,0.766
0.536,0.41
0.427,0.338
0.487,0.397
0.397,0.342
0.46,0.504
0.526,0.296
0.358,0.253
0.45,0.375
0.474,0.526
0.364,0.362
0.341,0.308
0.599,0.472
0.477,0.504
0.566,0.475
0.414,0.393
0.533,0.465
0.626,0.503
0.374,0.338
1.0,1.0
0.487,0.508
0.497,0.314
0.51,0.53
0.652,0.537
0.811,0.819
0.474,0.419
0.242,0.245
0.526,0.552
0.0,0.011
0.599,0.43
0.46,0.338
0.454,0.179
0.136,0.242
0.603,0.574
0.414,0.533
0.331,0.273
0.285,0.231
0.421,0.477
0.56,0.496
0.533,0.508
0.47,0.4
0.457,0.546
