nu,af
320,1
331,1
345,1
351,1
352,1
358,1
359,1
372,1
377,1
378,1
383,2
391,1
394,1
397,1
398,1
400,1
402,1
406,1
408,1
409,1
411,2
412,1
413,1
414,1
415,1
416,1
417,1
421,1
422,2
423,1
424,1
426,1
428,1
433,1
434,2
437,2
438,2
442,1
444,1
448,1
451,2
452,2
453,1
458,1
459,1
460,2
462,1
463,2
465,2
466,1
468,1
470,1
472,1
473,1
474,1
477,1
478,1
480,1
482,4
483,1
485,1
487,1
492,1
493,2
495,1
496,1
498,1
502,1
503,2
506,1
510,2
511,1
512,1
514,1
518,2
522,1
523,2
525,2
538,1
540,1
543,1
546,1
569,1
576,1
