nu,rf
320,0.0096
331,0.0096
345,0.0096
351,0.0096
352,0.0096
358,0.0096
359,0.0096
372,0.0096
377,0.0096
378,0.0096
383,0.0192
391,0.0096
394,0.0096
397,0.0096
398,0.0096
400,0.0096
402,0.0096
406,0.0096
408,0.0096
409,0.0096
411,0.0192
412,0.0096
413,0.0096
414,0.0096
415,0.0096
416,0.0096
417,0.0096
421,0.0096
422,0.0192
423,0.0096
424,0.0096
426,0.0096
428,0.0096
433,0.0096
434,0.0192
437,0.0192
438,0.0192
442,0.0096
444,0.0096
448,0.0096
451,0.0192
452,0.0192
453,0.0096
458,0.0096
459,0.0096
460,0.0192
462,0.0096
463,0.0192
465,0.0192
466,0.0096
468,0.0096
470,0.0096
472,0.0096
473,0.0096
474,0.0096
477,0.0096
478,0.0096
480,0.0096
482,0.0385
483,0.0096
485,0.0096
487,0.0096
492,0.0096
493,0.0192
495,0.0096
496,0.0096
498,0.0096
502,0.0096
503,0.0192
506,0.0096
510,0.0192
511,0.0096
512,0.0096
514,0.0096
518,0.0192
522,0.0096
523,0.0192
525,0.0192
538,0.0096
540,0.0096
543,0.0096
546,0.0096
569,0.0096
576,0.0096
