nu,af,rf
320,1,0.009615384615384616
331,1,0.009615384615384616
345,1,0.009615384615384616
351,1,0.009615384615384616
352,1,0.009615384615384616
358,1,0.009615384615384616
359,1,0.009615384615384616
372,1,0.009615384615384616
377,1,0.009615384615384616
378,1,0.009615384615384616
383,2,0.019230769230769232
391,1,0.009615384615384616
394,1,0.009615384615384616
397,1,0.009615384615384616
398,1,0.009615384615384616
400,1,0.009615384615384616
402,1,0.009615384615384616
406,1,0.009615384615384616
408,1,0.009615384615384616
409,1,0.009615384615384616
411,2,0.019230769230769232
412,1,0.009615384615384616
413,1,0.009615384615384616
414,1,0.009615384615384616
415,1,0.009615384615384616
416,1,0.009615384615384616
417,1,0.009615384615384616
421,1,0.009615384615384616
422,2,0.019230769230769232
423,1,0.009615384615384616
424,1,0.009615384615384616
426,1,0.009615384615384616
428,1,0.009615384615384616
433,1,0.009615384615384616
434,2,0.019230769230769232
437,2,0.019230769230769232
438,2,0.019230769230769232
442,1,0.009615384615384616
444,1,0.009615384615384616
448,1,0.009615384615384616
451,2,0.019230769230769232
452,2,0.019230769230769232
453,1,0.009615384615384616
458,1,0.009615384615384616
459,1,0.009615384615384616
460,2,0.019230769230769232
462,1,0.009615384615384616
463,2,0.019230769230769232
465,2,0.019230769230769232
466,1,0.009615384615384616
468,1,0.009615384615384616
470,1,0.009615384615384616
472,1,0.009615384615384616
473,1,0.009615384615384616
474,1,0.009615384615384616
477,1,0.009615384615384616
478,1,0.009615384615384616
480,1,0.009615384615384616
482,4,0.038461538461538464
483,1,0.009615384615384616
485,1,0.009615384615384616
487,1,0.009615384615384616
492,1,0.009615384615384616
493,2,0.019230769230769232
495,1,0.009615384615384616
496,1,0.009615384615384616
498,1,0.009615384615384616
502,1,0.009615384615384616
503,2,0.019230769230769232
506,1,0.009615384615384616
510,2,0.019230769230769232
511,1,0.009615384615384616
512,1,0.009615384615384616
514,1,0.009615384615384616
518,2,0.019230769230769232
522,1,0.009615384615384616
523,2,0.019230769230769232
525,2,0.019230769230769232
538,1,0.009615384615384616
540,1,0.009615384615384616
543,1,0.009615384615384616
546,1,0.009615384615384616
569,1,0.009615384615384616
576,1,0.009615384615384616
