E,rf
64.5,0.0096
71.9,0.0096
81.7,0.0096
84.6,0.0096
87.7,0.0096
95.9,0.0096
96.1,0.0096
98.3,0.0096
102.9,0.0096
103.8,0.0096
107.1,0.0096
107.4,0.0096
107.5,0.0096
108.6,0.0192
108.7,0.0096
109.0,0.0096
109.7,0.0096
110.0,0.0096
110.8,0.0096
112.1,0.0096
112.4,0.0096
112.9,0.0096
113.5,0.0096
114.6,0.0096
115.1,0.0096
115.2,0.0096
115.9,0.0096
116.1,0.0096
116.7,0.0096
117.1,0.0096
117.9,0.0096
118.6,0.0096
120.5,0.0096
120.8,0.0096
122.9,0.0096
123.4,0.0096
124.0,0.0096
124.3,0.0288
124.5,0.0096
125.9,0.0096
126.4,0.0096
126.6,0.0096
126.7,0.0096
128.0,0.0096
128.2,0.0096
128.6,0.0096
128.9,0.0096
129.2,0.0096
129.7,0.0096
130.0,0.0192
130.3,0.0192
131.0,0.0096
131.6,0.0096
132.5,0.0096
134.1,0.0096
135.6,0.0096
136.4,0.0096
136.7,0.0096
137.2,0.0096
137.5,0.0096
137.9,0.0096
138.6,0.0096
138.8,0.0096
139.9,0.0096
140.6,0.0096
140.7,0.0192
140.9,0.0096
143.8,0.0096
144.3,0.0096
144.9,0.0096
145.4,0.0096
146.0,0.0192
146.6,0.0096
148.2,0.0096
148.3,0.0096
148.5,0.0096
149.5,0.0096
149.7,0.0096
150.1,0.0096
150.9,0.0096
151.3,0.0096
152.6,0.0096
153.5,0.0096
153.9,0.0192
154.0,0.0096
155.3,0.0096
155.4,0.0096
156.7,0.0096
157.4,0.0096
165.0,0.0096
165.9,0.0096
169.9,0.0096
170.1,0.0096
172.8,0.0096
174.6,0.0096
177.0,0.0096
