E,af
64.5,1
71.9,1
81.7,1
84.6,1
87.7,1
95.9,1
96.1,1
98.3,1
102.9,1
103.8,1
107.1,1
107.4,1
107.5,1
108.6,2
108.7,1
109.0,1
109.7,1
110.0,1
110.8,1
112.1,1
112.4,1
112.9,1
113.5,1
114.6,1
115.1,1
115.2,1
115.9,1
116.1,1
116.7,1
117.1,1
117.9,1
118.6,1
120.5,1
120.8,1
122.9,1
123.4,1
124.0,1
124.3,3
124.5,1
125.9,1
126.4,1
126.6,1
126.7,1
128.0,1
128.2,1
128.6,1
128.9,1
129.2,1
129.7,1
130.0,2
130.3,2
131.0,1
131.6,1
132.5,1
134.1,1
135.6,1
136.4,1
136.7,1
137.2,1
137.5,1
137.9,1
138.6,1
138.8,1
139.9,1
140.6,1
140.7,2
140.9,1
143.8,1
144.3,1
144.9,1
145.4,1
146.0,2
146.6,1
148.2,1
148.3,1
148.5,1
149.5,1
149.7,1
150.1,1
150.9,1
151.3,1
152.6,1
153.5,1
153.9,2
154.0,1
155.3,1
155.4,1
156.7,1
157.4,1
165.0,1
165.9,1
169.9,1
170.1,1
172.8,1
174.6,1
177.0,1
