<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20200918;110000;81,96
AFLT;60;20200918;120000;81,98
AFLT;60;20200918;130000;82
AFLT;60;20200918;140000;81,98
AFLT;60;20200918;150000;82
AFLT;60;20200918;160000;81,9
AFLT;60;20200918;170000;81,58
AFLT;60;20200918;180000;81,7
AFLT;60;20200918;190000;81,5
AFLT;60;20200918;200000;81,3
AFLT;60;20200918;210000;81,38
AFLT;60;20200918;220000;81,54
AFLT;60;20200918;230000;81,72
AFLT;60;20200919;0;81,78
AFLT;60;20200921;110000;80,06
AFLT;60;20200921;120000;80,1
AFLT;60;20200921;130000;80,4
AFLT;60;20200921;140000;80,2
AFLT;60;20200921;150000;80,2
AFLT;60;20200921;160000;80,2
AFLT;60;20200921;170000;79,56
AFLT;60;20200921;180000;78,5
AFLT;60;20200921;190000;79
AFLT;60;20200921;200000;79,22
AFLT;60;20200921;210000;78,94
AFLT;60;20200921;220000;79
AFLT;60;20200921;230000;79,04
AFLT;60;20200922;0;79,3
AFLT;60;20200922;110000;77,3
AFLT;60;20200922;120000;78,48
AFLT;60;20200922;130000;78,08
AFLT;60;20200922;140000;78,12
AFLT;60;20200922;150000;78,16
AFLT;60;20200922;160000;77,7
AFLT;60;20200922;170000;77,86
AFLT;60;20200922;180000;77,62
AFLT;60;20200922;190000;77,36
AFLT;60;20200922;200000;77,62
AFLT;60;20200922;210000;77,66
AFLT;60;20200922;220000;77,84
AFLT;60;20200922;230000;77,74
AFLT;60;20200923;0;77,8
AFLT;60;20200923;110000;77,28
AFLT;60;20200923;120000;77,16
AFLT;60;20200923;130000;77,28
AFLT;60;20200923;140000;77,5
AFLT;60;20200923;150000;77,14
AFLT;60;20200923;160000;77,58
AFLT;60;20200923;170000;77,68
AFLT;60;20200923;180000;77,56
AFLT;60;20200923;190000;77,42
AFLT;60;20200923;200000;77,36
AFLT;60;20200923;210000;77,46
AFLT;60;20200923;220000;77,26
AFLT;60;20200923;230000;77,2
AFLT;60;20200924;0;77,12
AFLT;60;20200924;110000;76,5
AFLT;60;20200924;120000;76,3
AFLT;60;20200924;130000;76,2
AFLT;60;20200924;140000;76,34
AFLT;60;20200924;150000;76,16
AFLT;60;20200924;160000;76,08
AFLT;60;20200924;170000;76,14
AFLT;60;20200924;180000;76,12
AFLT;60;20200924;190000;76,04
AFLT;60;20200924;200000;75,8
AFLT;60;20200924;210000;75,98
AFLT;60;20200924;220000;76,08
AFLT;60;20200924;230000;76,1
AFLT;60;20200925;0;75,7
AFLT;60;20200925;110000;75,94
AFLT;60;20200925;120000;76,28
AFLT;60;20200925;130000;75,62
AFLT;60;20200925;140000;74,88
AFLT;60;20200925;150000;74,44
AFLT;60;20200925;160000;73,64
AFLT;60;20200925;170000;73,48
AFLT;60;20200925;180000;74,12
AFLT;60;20200925;190000;74,14
AFLT;60;20200925;200000;74,4
AFLT;60;20200925;210000;74
AFLT;60;20200925;220000;74,04
AFLT;60;20200925;230000;74,04
AFLT;60;20200926;0;74,18
AFLT;60;20200928;110000;74,92
AFLT;60;20200928;120000;74,74
AFLT;60;20200928;130000;74,96
AFLT;60;20200928;140000;75,26
AFLT;60;20200928;150000;75,48
AFLT;60;20200928;160000;75,14
AFLT;60;20200928;170000;75,5
AFLT;60;20200928;180000;75,38
AFLT;60;20200928;190000;75,3
AFLT;60;20200928;200000;75,76
AFLT;60;20200928;210000;75,74
AFLT;60;20200928;220000;75,82
AFLT;60;20200928;230000;75,88
AFLT;60;20200929;0;75,78
AFLT;60;20200929;110000;74,44
AFLT;60;20200929;120000;74,56
AFLT;60;20200929;130000;74,82
AFLT;60;20200929;140000;74,98
AFLT;60;20200929;150000;75,02
AFLT;60;20200929;160000;74,36
AFLT;60;20200929;170000;74,24
AFLT;60;20200929;180000;74,24
AFLT;60;20200929;190000;74,2
AFLT;60;20200929;200000;74,08
AFLT;60;20200929;210000;74,76
AFLT;60;20200929;220000;74,78
AFLT;60;20200929;230000;74,42
AFLT;60;20200930;0;74,42
AFLT;60;20200930;110000;74,3
AFLT;60;20200930;120000;74,56
AFLT;60;20200930;130000;74,1
AFLT;60;20200930;140000;74,28
AFLT;60;20200930;150000;74,28
AFLT;60;20200930;160000;74,2
AFLT;60;20200930;170000;74,18
AFLT;60;20200930;180000;74,3
AFLT;60;20200930;190000;73,9
AFLT;60;20200930;200000;74,02
AFLT;60;20200930;210000;74,08
AFLT;60;20200930;220000;74,24
AFLT;60;20200930;230000;74,24
AFLT;60;20201001;0;74,12
AFLT;60;20201001;110000;73,9
AFLT;60;20201001;120000;73,66
AFLT;60;20201001;130000;73,56
AFLT;60;20201001;140000;73,46
AFLT;60;20201001;150000;73,6
AFLT;60;20201001;160000;73,52
AFLT;60;20201001;170000;71,66
AFLT;60;20201001;180000;71,26
AFLT;60;20201001;190000;70,5
AFLT;60;20201001;200000;71,18
AFLT;60;20201001;210000;71,14
AFLT;60;20201001;220000;71,58
AFLT;60;20201001;230000;71,26
AFLT;60;20201002;0;71,16
AFLT;60;20201002;110000;68,5
AFLT;60;20201002;120000;68,86
AFLT;60;20201002;130000;69,08
AFLT;60;20201002;140000;69
AFLT;60;20201002;150000;69,08
AFLT;60;20201002;160000;68,98
AFLT;60;20201002;170000;68,92
AFLT;60;20201002;180000;69,32
AFLT;60;20201002;190000;68,6
AFLT;60;20201002;200000;68,98
AFLT;60;20201002;210000;69,06
AFLT;60;20201002;220000;69,04
AFLT;60;20201002;230000;69
AFLT;60;20201003;0;69
AFLT;60;20201005;110000;66,76
AFLT;60;20201005;120000;66,5
AFLT;60;20201005;130000;66,24
AFLT;60;20201005;140000;65,88
AFLT;60;20201005;150000;66,18
AFLT;60;20201005;160000;65,9
AFLT;60;20201005;170000;65,66
AFLT;60;20201005;180000;65,74
AFLT;60;20201005;190000;65,3
AFLT;60;20201005;200000;65,46
AFLT;60;20201005;210000;65,48
AFLT;60;20201005;220000;65,46
AFLT;60;20201005;230000;65,64
AFLT;60;20201006;0;65,74
AFLT;60;20201006;110000;66,9
AFLT;60;20201006;120000;67,12
AFLT;60;20201006;130000;67,2
AFLT;60;20201006;140000;66,96
AFLT;60;20201006;150000;66,98
AFLT;60;20201006;160000;67,3
AFLT;60;20201006;170000;67,42
AFLT;60;20201006;180000;67,38
AFLT;60;20201006;190000;67,64
AFLT;60;20201006;200000;68,48
AFLT;60;20201006;210000;68,56
AFLT;60;20201006;220000;67,8
AFLT;60;20201006;230000;67,48
AFLT;60;20201007;0;67,56
AFLT;60;20201007;110000;66,76
AFLT;60;20201007;120000;66,8
AFLT;60;20201007;130000;66,34
AFLT;60;20201007;140000;65,74
AFLT;60;20201007;150000;65,76
AFLT;60;20201007;160000;65,62
AFLT;60;20201007;170000;65,22
AFLT;60;20201007;180000;65,72
AFLT;60;20201007;190000;65,34
AFLT;60;20201007;200000;65,74
AFLT;60;20201007;210000;65,96
AFLT;60;20201007;220000;65,76
AFLT;60;20201007;230000;65,64
AFLT;60;20201008;0;65,86
AFLT;60;20201008;110000;64
AFLT;60;20201008;120000;64,06
AFLT;60;20201008;130000;63,92
AFLT;60;20201008;140000;63,74
AFLT;60;20201008;150000;63,4
AFLT;60;20201008;160000;63,4
AFLT;60;20201008;170000;63,44
AFLT;60;20201008;180000;61,94
AFLT;60;20201008;190000;62,02
AFLT;60;20201008;200000;62,36
AFLT;60;20201008;210000;62,62
AFLT;60;20201008;220000;62,78
AFLT;60;20201008;230000;62,78
AFLT;60;20201009;0;62,72
AFLT;60;20201009;110000;59,52
AFLT;60;20201009;120000;59,7
AFLT;60;20201009;130000;59,52
AFLT;60;20201009;140000;59,7
AFLT;60;20201009;150000;59,86
AFLT;60;20201009;160000;59,86
AFLT;60;20201009;170000;60,14
AFLT;60;20201009;180000;60,1
AFLT;60;20201009;190000;60
AFLT;60;20201009;200000;60,08
AFLT;60;20201009;210000;60,08
AFLT;60;20201009;220000;60,08
AFLT;60;20201009;230000;59,94
AFLT;60;20201010;0;60,26
AFLT;60;20201012;110000;59,8
AFLT;60;20201012;120000;60,08
AFLT;60;20201012;130000;60,02
AFLT;60;20201012;140000;60,04
AFLT;60;20201012;150000;59,7
AFLT;60;20201012;160000;59,6
AFLT;60;20201012;170000;59,8
AFLT;60;20201012;180000;59,66
AFLT;60;20201012;190000;59,7
AFLT;60;20201012;200000;59,78
AFLT;60;20201012;210000;59,82
AFLT;60;20201012;220000;59,84
AFLT;60;20201012;230000;59,84
AFLT;60;20201013;0;59,66
AFLT;60;20201013;110000;59,18
AFLT;60;20201013;120000;58,42
AFLT;60;20201013;130000;58,34
AFLT;60;20201013;140000;58,42
AFLT;60;20201013;150000;58,42
AFLT;60;20201013;160000;58,38
AFLT;60;20201013;170000;57,98
AFLT;60;20201013;180000;58,04
AFLT;60;20201013;190000;58,2
AFLT;60;20201013;200000;58,1
AFLT;60;20201013;210000;58,1
AFLT;60;20201013;220000;58,02
AFLT;60;20201013;230000;58,08
AFLT;60;20201014;0;57,68
AFLT;60;20201014;110000;58,4
AFLT;60;20201014;120000;58,66
AFLT;60;20201014;130000;59,08
AFLT;60;20201014;140000;58,72
AFLT;60;20201014;150000;58,92
AFLT;60;20201014;160000;59,26
AFLT;60;20201014;170000;58,9
AFLT;60;20201014;180000;58,96
AFLT;60;20201014;190000;58,7
AFLT;60;20201014;200000;58,74
AFLT;60;20201014;210000;58,84
AFLT;60;20201014;220000;58,84
AFLT;60;20201014;230000;58,96
AFLT;60;20201015;0;59,06
AFLT;60;20201015;110000;58,7
AFLT;60;20201015;120000;58,2
AFLT;60;20201015;130000;57,98
AFLT;60;20201015;140000;57,94
AFLT;60;20201015;150000;57,82
AFLT;60;20201015;160000;57,86
AFLT;60;20201015;170000;57,36
AFLT;60;20201015;180000;57,58
AFLT;60;20201015;190000;57,66
AFLT;60;20201015;200000;57,92
AFLT;60;20201015;210000;58
AFLT;60;20201015;220000;58,14
AFLT;60;20201015;230000;58,06
AFLT;60;20201016;0;57,98
AFLT;60;20201016;110000;57,96
AFLT;60;20201016;120000;58,12
AFLT;60;20201016;130000;58,14
AFLT;60;20201016;140000;58,24
AFLT;60;20201016;150000;58,28
AFLT;60;20201016;160000;58,78
AFLT;60;20201016;170000;58,5
AFLT;60;20201016;180000;58,5
AFLT;60;20201016;190000;58,38
AFLT;60;20201016;200000;58,58
AFLT;60;20201016;210000;58,38
AFLT;60;20201016;220000;58,32
AFLT;60;20201016;230000;58,16
AFLT;60;20201017;0;58,2
AFLT;60;20201019;110000;58,52
AFLT;60;20201019;120000;58,52
AFLT;60;20201019;130000;58,5
AFLT;60;20201019;140000;58,64
AFLT;60;20201019;150000;58,5
AFLT;60;20201019;160000;58,6
AFLT;60;20201019;170000;58,54
AFLT;60;20201019;180000;58,5
AFLT;60;20201019;190000;58,5
AFLT;60;20201019;200000;58,54
AFLT;60;20201019;210000;58,62
AFLT;60;20201019;220000;58,5
AFLT;60;20201019;230000;58,46
AFLT;60;20201020;0;58,56
AFLT;60;20201020;110000;58,14
AFLT;60;20201020;120000;58,3
AFLT;60;20201020;130000;58,48
AFLT;60;20201020;140000;58,32
AFLT;60;20201020;150000;58,12
AFLT;60;20201020;160000;58,08
AFLT;60;20201020;170000;58
AFLT;60;20201020;180000;58,08
AFLT;60;20201020;190000;58,02
AFLT;60;20201020;200000;58,26
