<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;7;;;;;;;129,00;39;18526,71359;;129;39;19502,19842
MOEX,MDMG:TQBR;60;20201210;110000;456,05;;;;;;;153,3864261;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;120000;455,25;;;;;;;0,189042062;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;130000;455;;;;;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;140000;452,7;;;;;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;150000;453,4;;;;;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;160000;453,65;;;;;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;170000;455;;;;;;;0;129;;0,686567164;40,7079646;30;70;;129,00;39;17874;;129;39;17874
MOEX,MDMG:TQBR;60;20201210;180000;454,45;;;;;;454,2071429;0;129;;0,741935484;42,59259259;30;70;;129,00;39;17852,55;;129;39;17852,55
MOEX,MDMG:TQBR;60;20201210;190000;455,05;;;;;;454,1785714;0;129;;1,01754386;50,43478261;30;70;;129,00;39;17875,95;;129;39;17875,95
MOEX,MDMG:TQBR;60;20201211;110000;455,5;;;;;;454,25;0;129;;6,090909091;85,8974359;30;70;;129,00;39;17893,5;;129;39;17893,5
MOEX,MDMG:TQBR;60;20201211;120000;455,05;;;;;;454,5857143;0;129;;2,65;72,60273973;30;70;;129,00;39;17875,95;;129;39;17875,95
MOEX,MDMG:TQBR;60;20201211;130000;455,4;;;;;;454,8714286;0;129;;2,75;73,33333333;30;70;;129,00;39;17889,6;;129;39;17889,6
MOEX,MDMG:TQBR;60;20201211;140000;454,45;;;;;;454,9857143;0,283859611;0;;0,717948718;41,79104478;30;70;;17852,55;0;17852,55;;5719,413284;26,69850746;17852,55
MOEX,MDMG:TQBR;60;20201211;150000;455;;;;;;454,9857143;0;129,1561228;;1,392857143;58,20895522;30;70;;17852,55;0;17852,55;;5719,413284;26,69850746;17867,23418
MOEX,MDMG:TQBR;60;20201211;160000;451,9;;;;;;454,6214286;0,285806866;0;;0,3;23,07692308;30;70;;17852,55;0;17852,55;;5719,413284;26,69850746;17784,46881
MOEX,MDMG:TQBR;60;20201211;170000;451,3;;;;;;454,0857143;0,285806866;0;;0,176470588;15;30;70;;17852,55;0;17852,55;;5719,413284;26,69850746;17768,4497
MOEX,MDMG:TQBR;60;20201211;180000;455,7;;;;;;454,1142857;0;130,2421889;;1,139784946;53,26633166;30;70;;0,00;39,1761027;17852,55;;3530,803628;31,50124974;17885,92313
MOEX,MDMG:TQBR;60;20201211;190000;455,6;;;;;;454,1928571;0;130,2421889;;1,042105263;51,03092784;30;70;;0,00;39,1761027;17848,63239;;3530,803628;31,50124974;17882,77301
MOEX,MDMG:TQBR;60;20201214;110000;451,95;;;;;;453,7;0,288178314;0;;0,66442953;39,91935484;30;70;;0,00;39,1761027;17705,63961;;3530,803628;31,50124974;17767,79345
MOEX,MDMG:TQBR;60;20201214;120000;451,7;;;;;;453,3071429;0,288178314;0;;0,571428571;36,36363636;30;70;;0,00;39,1761027;17695,84559;;3530,803628;31,50124974;17759,91814
MOEX,MDMG:TQBR;60;20201214;130000;453;;;;;;453,0214286;0,288178314;0;;1,239130435;55,33980583;30;70;;0,00;39,1761027;17746,77452;;3530,803628;31,50124974;17800,86976
MOEX,MDMG:TQBR;60;20201214;140000;456,4;;;;;;453,6642857;0;131,5245824;;2,275;69,46564885;30;70;;0,00;39,1761027;17879,97327;;3530,803628;31,50124974;17907,97401
MOEX,MDMG:TQBR;60;20201214;150000;454,85;;;;;;454,1714286;0;131,5245824;;0,846846847;45,85365854;30;70;;0,00;39,1761027;17819,25031;;3530,803628;31,50124974;17859,14707
MOEX,MDMG:TQBR;60;20201214;160000;457,4;;;;;;454,4142857;0;131,5245824;;1,330275229;57,08661417;30;70;;0,00;39,1761027;17919,14937;;3530,803628;31,50124974;17939,47526
MOEX,MDMG:TQBR;60;20201214;170000;458,75;;;;;;454,8642857;0;131,5245824;;4,777777778;82,69230769;30;70;;0,00;39,1761027;17972,03711;;3530,803628;31,50124974;17982,00195
MOEX,MDMG:TQBR;60;20201214;180000;461;;;;;;456,1571429;0;131,5245824;;7;87,5;30;70;;0,00;39,1761027;18060,18334;;3530,803628;31,50124974;18052,87976
MOEX,MDMG:TQBR;60;20201214;190000;457,9;;;;;;457,0428571;0;131,5245824;;2,053763441;67,25352113;30;70;;17938,74;0;17938,73743;;6451,241232;25,12335587;17955,22588
MOEX,MDMG:TQBR;60;20201215;110000;460,2;;;;;;458,0714286;0;131,5245824;;1,817204301;64,50381679;30;70;;17938,74;0;17938,73743;;6451,241232;25,12335587;18013,0096
MOEX,MDMG:TQBR;60;20201215;120000;461,5;;;;;;458,8;0;131,5245824;;3,14516129;75,87548638;30;70;;17938,74;0;17938,73743;;6451,241232;25,12335587;18045,66996
MOEX,MDMG:TQBR;60;20201215;130000;462,75;;;;;;459,9285714;0;131,5245824;;2,725806452;73,16017316;30;70;;17938,74;0;17938,73743;;6451,241232;25,12335587;18077,07416
MOEX,MDMG:TQBR;60;20201215;140000;464,55;;;;;;460,95;0;131,5245824;;2,870967742;74,16666667;30;70;;17938,74;0;17938,73743;;6451,241232;25,12335587;18122,2962
MOEX,MDMG:TQBR;60;20201215;150000;464,7;;;;;;461,8;0;131,5245824;;2,193548387;68,68686869;30;70;;17938,74;0;17938,73743;;7090,997973;23,74664672;18126,0647
MOEX,MDMG:TQBR;60;20201215;160000;466,75;;;;;;462,6214286;0;131,5245824;;2,85483871;74,05857741;30;70;;17938,74;0;17938,73743;;7090,997973;23,74664672;18174,74533
MOEX,MDMG:TQBR;60;20201215;170000;464,9;;;;;;463,6214286;0;131,5245824;;3,540540541;77,97619048;30;70;;17938,74;0;17938,73743;;7090,997973;23,74664672;18130,81403
MOEX,MDMG:TQBR;60;20201215;180000;465,95;;;;;;464,4428571;0;131,5245824;;3,405405405;77,3006135;30;70;;17938,74;0;17938,73743;;7090,997973;23,74664672;18155,74801
MOEX,MDMG:TQBR;60;20201215;190000;466,95;;;;;;465,2214286;0;131,5245824;;3,27027027;76,58227848;30;70;;17938,74;0;17938,73743;;7090,997973;23,74664672;18179,49466
MOEX,MDMG:TQBR;60;20201216;110000;466,45;;;;;;465,75;0;131,5245824;;1,808510638;64,39393939;30;70;;17938,74;0;17938,73743;;8441,054388;20,8523249;18167,62134
MOEX,MDMG:TQBR;60;20201216;120000;466,15;;;;;;465,9785714;0;131,5245824;;1,547169811;60,74074074;30;70;;17938,74;0;17938,73743;;8441,054388;20,8523249;18161,36564
MOEX,MDMG:TQBR;60;20201216;130000;466,15;;;;;;466,1857143;0,282150772;0;;0,773584906;43,61702128;30;70;;17938,74;0;17938,73743;;8441,054388;20,8523249;18161,36564
MOEX,MDMG:TQBR;60;20201216;140000;466,2;;;;;;466,1071429;0;131,5386899;;2,625;72,4137931;30;70;;17938,74;0;17938,73743;;8441,054388;20,8523249;18162,40825
MOEX,MDMG:TQBR;60;20201216;150000;457;;;;;;464,9785714;0,287830831;0;;0,105;9,502262443;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17970,56687
MOEX,MDMG:TQBR;60;20201216;160000;458,1;;;;;;463,8571429;0,287830831;0;;0,115;10,31390135;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17979,07405
MOEX,MDMG:TQBR;60;20201216;170000;458,1;;;;;;462,5928571;0,287830831;0;;0,121052632;10,79812207;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17979,07405
MOEX,MDMG:TQBR;60;20201216;180000;457,8;;;;;;461,3571429;0,287830831;0;;0,121052632;10,79812207;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17976,75391
MOEX,MDMG:TQBR;60;20201216;190000;456;;;;;;459,9071429;0,287830831;0;;0,101769912;9,236947791;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17962,83306
MOEX,MDMG:TQBR;60;20201217;110000;457,95;;;;;;458,7357143;0,287830831;0;;0,269911504;21,2543554;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17977,91398
MOEX,MDMG:TQBR;60;20201217;120000;452;;;;;;456,7071429;0,287830831;0;;0,378881988;27,47747748;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17931,89782
MOEX,MDMG:TQBR;60;20201217;130000;448,45;;;;;;455,4857143;0,287830831;0;;0,168103448;14,39114391;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17904,44281
MOEX,MDMG:TQBR;60;20201217;140000;448,9;;;;;;454,1714286;0,287830831;0;;0,206896552;17,14285714;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17907,92302
MOEX,MDMG:TQBR;60;20201217;150000;447;;;;;;452,5857143;0,287830831;0;;0,181818182;15,38461538;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17893,22878
MOEX,MDMG:TQBR;60;20201217;160000;449;;;;;;451,3285714;0,287830831;0;;0,385964912;27,84810127;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17908,6964
MOEX,MDMG:TQBR;60;20201217;170000;449,1;;;;;;450,3428571;0,287830831;0;;0,223684211;18,27956989;30;70;;17938,74;0;17938,73743;;14436,21655;7,733808126;17909,46978
MOEX,MDMG:TQBR;60;20201217;180000;453;;;;;;449,6357143;0;130,3873666;;1,183486239;54,20168067;30;70;;0,00;39,59986187;17938,73743;;9250,42285;19,18147634;17939,63163
MOEX,MDMG:TQBR;60;20201217;190000;450,25;;;;;;449,3857143;0;130,3873666;;1,387096774;58,10810811;30;70;;0,00;39,59986187;17829,83781;;9250,42285;19,18147634;17886,88257
MOEX,MDMG:TQBR;60;20201218;110000;449,85;;;;;;449,5857143;0;130,3873666;;1,188118812;54,29864253;30;70;;0,00;39,59986187;17813,99786;;9250,42285;19,18147634;17879,20998
MOEX,MDMG:TQBR;60;20201218;120000;450,55;;;;;;449,8214286;0;130,3873666;;2,126984127;68,02030457;30;70;;0,00;39,59986187;17841,71776;;9250,42285;19,18147634;17892,63702
MOEX,MDMG:TQBR;60;20201218;130000;450,5;;;;;;450,3214286;0;130,3873666;;1,46875;59,49367089;30;70;;0,00;39,59986187;17839,73777;;9250,42285;19,18147634;17891,67794
MOEX,MDMG:TQBR;60;20201218;140000;450,15;;;;;;450,4857143;0,289653152;0;;1,295774648;56,44171779;30;70;;0,00;39,59986187;17825,87782;;9250,42285;19,18147634;17884,96443
MOEX,MDMG:TQBR;60;20201218;150000;450,4;;;;;;450,6714286;0,289653152;0;;0,267605634;21,11111111;30;70;;0,00;39,59986187;17835,77779;;9250,42285;19,18147634;17889,75979
MOEX,MDMG:TQBR;60;20201218;160000;450,95;;;;;;450,3785714;0;130,6190891;;1,875;65,2173913;30;70;;0,00;39,59986187;17857,55771;;5170,405429;28,22908122;17900,30961
MOEX,MDMG:TQBR;60;20201218;170000;451;;;;;;450,4857143;0;130,6190891;;3,875;79,48717949;30;70;;0,00;39,59986187;17859,5377;;5170,405429;28,22908122;17901,72106
MOEX,MDMG:TQBR;60;20201218;180000;451,7;;;;;;450,75;0;130,6190891;;3,875;79,48717949;30;70;;0,00;39,59986187;17887,25761;;5170,405429;28,22908122;17921,48142
MOEX,MDMG:TQBR;60;20201218;190000;451,65;;;;;;450,9071429;0;130,6190891;;3,875;79,48717949;30;70;;0,00;39,59986187;17885,27761;;5170,405429;28,22908122;17920,06996
MOEX,MDMG:TQBR;60;20201221;110000;450,95;;;;;;450,9714286;0,289653152;0;;2,066666667;67,39130435;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17900,30961
MOEX,MDMG:TQBR;60;20201221;120000;450,5;;;;;;451,0214286;0,289653152;0;;1,083333333;52;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17889,14307
MOEX,MDMG:TQBR;60;20201221;130000;450,5;;;;;;451,0357143;0,289653152;0;;0,625;38,46153846;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17889,14307
MOEX,MDMG:TQBR;60;20201221;140000;451,5;;;;;;451,1142857;0;130,7783983;;1,416666667;58,62068966;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17913,9576
MOEX,MDMG:TQBR;60;20201221;150000;451;;;;;;451,1142857;0,289974276;0;;0,588235294;37,03703704;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17901,55033
MOEX,MDMG:TQBR;60;20201221;160000;451,45;;;;;;451,0785714;0;130,9088868;;0,878787879;46,77419355;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17912,71687
MOEX,MDMG:TQBR;60;20201221;170000;449;;;;;;450,7;0,291556541;0;;0,426470588;29,89690722;30;70;;17857,56;0;17857,55771;;6710,198743;24,81452681;17851,92128
MOEX,MDMG:TQBR;60;20201221;180000;451;;;;;;450,7071429;0;131,4919998;;1,169491525;53,90625;30;70;;0,00;39,59547164;17857,55771;;5099,124125;28,38675434;17901,55033
MOEX,MDMG:TQBR;60;20201221;190000;451,4;;;;;;450,8357143;0;131,4919998;;1,305084746;56,61764706;30;70;;0,00;39,59547164;17873,3959;;5099,124125;28,38675434;17912,90503
MOEX,MDMG:TQBR;60;20201222;110000;450,9;;;;;;450,8928571;0;131,4919998;;0,826086957;45,23809524;30;70;;0,00;39,59547164;17853,59816;;5099,124125;28,38675434;17898,71166
MOEX,MDMG:TQBR;60;20201222;120000;451,7;;;;;;450,9214286;0;131,4919998;;1,237288136;55,3030303;30;70;;0,00;39,59547164;17885,27454;;5099,124125;28,38675434;17921,42106
MOEX,MDMG:TQBR;60;20201222;130000;449,45;;;;;;450,7;0,29256202;0;;0,615384615;38,0952381;30;70;;0,00;39,59547164;17796,18473;;5099,124125;28,38675434;17857,55086
MOEX,MDMG:TQBR;60;20201222;140000;451,9;;;;;;450,7642857;0;132,2087768;;2,054545455;67,26190476;30;70;;0,00;39,59547164;17893,19363;;5099,124125;28,38675434;17927,09841
MOEX,MDMG:TQBR;60;20201222;150000;450,3;;;;;;450,95;0,293601547;0;;0,83908046;45,625;30;70;;0,00;39,59547164;17829,84088;;5099,124125;28,38675434;17881,6796
MOEX,MDMG:TQBR;60;20201222;160000;451,1;;;;;;450,9642857;0;132,443658;;0,931034483;48,21428571;30;70;;0,00;39,59547164;17861,51726;;5099,124125;28,38675434;17904,38901
MOEX,MDMG:TQBR;60;20201222;170000;451,3;;;;;;450,95;0;132,443658;;1,103896104;52,4691358;30;70;;0,00;39,59547164;17869,43635;;5099,124125;28,38675434;17910,06636
MOEX,MDMG:TQBR;60;20201222;180000;451,2;;;;;;450,9928571;0;132,443658;;0,873417722;46,62162162;30;70;;0,00;39,59547164;17865,4768;;5099,124125;28,38675434;17907,22768
MOEX,MDMG:TQBR;60;20201222;190000;451,7;;;;;;450,9928571;0;132,443658;;2,323529412;69,91150442;30;70;;0,00;39,59547164;17885,27454;;5099,124125;28,38675434;17921,42106
MOEX,MDMG:TQBR;60;20201223;110000;452,6;;;;;;451,4428571;0;132,443658;;1,411764706;58,53658537;30;70;;0,00;39,59547164;17920,91046;;5099,124125;28,38675434;17946,96914
MOEX,MDMG:TQBR;60;20201223;120000;453,35;;;;;;451,65;0;132,443658;;31,5;96,92307692;30;70;;0,00;39,59547164;17950,60707;;5099,124125;28,38675434;17968,25921
MOEX,MDMG:TQBR;60;20201223;130000;453,75;;;;;;452,1428571;0;132,443658;;27,5;96,49122807;30;70;;0,00;39,59547164;17966,44526;;5099,124125;28,38675434;17979,61391
MOEX,MDMG:TQBR;60;20201223;140000;452,55;;;;;;452,35;0;132,443658;;1,961538462;66,23376623;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17945,5498
MOEX,MDMG:TQBR;60;20201223;150000;452;;;;;;452,45;0,293016943;0;;1,457142857;59,30232558;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17934,6611
MOEX,MDMG:TQBR;60;20201223;160000;452,45;;;;;;452,6285714;0,293016943;0;;1,428571429;58,82352941;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17943,57004
MOEX,MDMG:TQBR;60;20201223;170000;452;;;;;;452,6714286;0,293016943;0;;0,727272727;42,10526316;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17934,6611
