<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20201210;110000;456,05;;;;;;;151,1931191;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;120000;455,25;;;;;;;0,172039688;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;130000;455;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;140000;452,7;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;150000;453,4;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;160000;453,65;;;;;;;;;;;;;;;;39;
MOEX,MDMG:TQBR;60;20201210;170000;455;;;;;;;;;;;;;;;;;
MOEX,MDMG:TQBR;60;20201210;180000;454,45;;;;;;;0;129;;0,58974359;37,09677419;30;70;;;39;17723,55
MOEX,MDMG:TQBR;60;20201210;190000;455,05;;;;;;454,3125;0;129;;0,935483871;48,33333333;30;70;;;39;17746,95
MOEX,MDMG:TQBR;60;20201211;110000;455,5;;;;;;454,34375;0;129;;1,175438596;54,03225806;30;70;;;39;17764,5
MOEX,MDMG:TQBR;60;20201211;120000;455,05;;;;;;454,35;0;129;;3,35;77,01149425;30;70;;;39;17746,95
MOEX,MDMG:TQBR;60;20201211;130000;455,4;;;;;;454,6875;0;129;;3;75;30;70;;;39;17760,6
MOEX,MDMG:TQBR;60;20201211;140000;454,45;;;;;;454,81875;0,283859611;0;;1,41025641;58,5106383;30;70;;17723,55;0;17723,55
MOEX,MDMG:TQBR;60;20201211;150000;455;;;;;;454,9875;0;129,1561228;;1;50;30;70;;17723,55;0;17723,55
MOEX,MDMG:TQBR;60;20201211;160000;451,9;;;;;;454,6;0,285806866;0;;0,433333333;30,23255814;30;70;;17723,55;0;17723,55
MOEX,MDMG:TQBR;60;20201211;170000;451,3;;;;;;454,20625;0,285806866;0;;0,264705882;20,93023256;30;70;;17723,55;0;17723,55
MOEX,MDMG:TQBR;60;20201211;180000;455,7;;;;;;454,2875;0;130,2421889;;1,039215686;50,96153846;30;70;;0,00;38,89302172;17723,55
MOEX,MDMG:TQBR;60;20201211;190000;455,6;;;;;;454,3;0;130,2421889;;1,115789474;52,73631841;30;70;;0,00;38,89302172;17719,6607
MOEX,MDMG:TQBR;60;20201214;110000;451,95;;;;;;453,9125;0,288178314;0;;0,589285714;37,07865169;30;70;;0,00;38,89302172;17577,70117
MOEX,MDMG:TQBR;60;20201214;120000;451,7;;;;;;453,45;0,288178314;0;;0,642857143;39,13043478;30;70;;0,00;38,89302172;17567,97791
MOEX,MDMG:TQBR;60;20201214;130000;453;;;;;;453,26875;0,288178314;0;;0,74025974;42,53731343;30;70;;0,00;38,89302172;17618,53884
MOEX,MDMG:TQBR;60;20201214;140000;456,4;;;;;;453,44375;0;131,5245824;;1,97826087;66,42335766;30;70;;0,00;38,89302172;17750,77512
MOEX,MDMG:TQBR;60;20201214;150000;454,85;;;;;;453,8125;0;131,5245824;;1,63963964;62,11604096;30;70;;0,00;38,89302172;17690,49093
MOEX,MDMG:TQBR;60;20201214;160000;457,4;;;;;;454,575;0;131,5245824;;1,306306306;56,640625;30;70;;0,00;38,89302172;17789,66814
MOEX,MDMG:TQBR;60;20201214;170000;458,75;;;;;;454,95625;0;131,5245824;;1,577981651;61,20996441;30;70;;0,00;38,89302172;17842,17372
MOEX,MDMG:TQBR;60;20201214;180000;461;;;;;;455,63125;0;131,5245824;;6,027777778;85,77075099;30;70;;0,00;38,89302172;17929,68302
MOEX,MDMG:TQBR;60;20201214;190000;457,9;;;;;;456,375;0;131,5245824;;2,333333333;70;30;70;;0,00;38,89302172;17809,11465
