<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20210901;0;184.7200000;187.0000000;184.0100000;186.6200000;4,972,240
MOEX;D;20210902;0;187.3000000;191.5200000;186.2500000;191.0200000;11,299,300
MOEX;D;20210903;0;191.3000000;191.5000000;185.2000000;186.3900000;8,133,510
MOEX;D;20210906;0;186.6800000;188.1700000;184.8000000;185.5600000;3,746,430
MOEX;D;20210907;0;185.6700000;187.1900000;184.6500000;186.9000000;3,637,050
MOEX;D;20210908;0;186.9000000;187.8300000;181.3000000;182.4900000;7,242,580
MOEX;D;20210909;0;182.9200000;184.8800000;181.0200000;182.2900000;6,352,680
MOEX;D;20210910;0;182.8900000;187.7800000;182.5800000;186.0900000;7,498,150
MOEX;D;20210913;0;186.2600000;186.5600000;183.1500000;184.5000000;5,202,370
MOEX;D;20210914;0;184.7200000;185.4900000;180.6000000;181.2300000;6,280,730
MOEX;D;20210915;0;181.3900000;185.9900000;181.0400000;184.7700000;7,711,740
MOEX;D;20210916;0;185.2000000;185.5800000;178.7300000;180.3000000;11,545,620
MOEX;D;20210917;0;180.6400000;183.5200000;180.1300000;182.0800000;13,621,230
MOEX;D;20210920;0;181.5600000;183.3000000;179.8600000;180.7700000;4,927,680
MOEX;D;20210921;0;180.7700000;182.7200000;180.7700000;181.6800000;3,886,520
MOEX;D;20210922;0;182.3400000;182.5900000;177.5000000;179.3100000;10,414,260
MOEX;D;20210923;0;179.8400000;180.8900000;178.3400000;179.8000000;4,160,980
MOEX;D;20210924;0;179.9500000;180.4400000;178.6100000;179.3700000;3,060,770
MOEX;D;20210927;0;180.0100000;180.3900000;176.7300000;177.7700000;6,122,120
MOEX;D;20210928;0;177.7700000;177.8600000;172.0600000;173.5000000;10,096,220
MOEX;D;20210929;0;173.1600000;173.8300000;170.0000000;172.8200000;8,229,870
MOEX;D;20210930;0;172.9000000;174.4800000;172.0600000;173.7600000;9,867,860
