<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;;8
MOEX;60;20211206;80000;159;;;;;;;;
MOEX;60;20211206;90000;159,4;;;;;;;;
MOEX;60;20211206;100000;159,78;;;;;;;;
MOEX;60;20211206;110000;159,94;;;;;;;;
MOEX;60;20211206;120000;155,59;;;;;;;;
MOEX;60;20211206;130000;155,32;;;;;;;;
MOEX;60;20211206;140000;154,69;;;;;;;;
MOEX;60;20211206;150000;157,55;;;;;;;;
MOEX;60;20211206;160000;156,7;;;;;;;;
MOEX;60;20211206;170000;155,73;;;;;;;;
MOEX;60;20211206;180000;156,98;;;;;;;;
MOEX;60;20211206;190000;156,5;;;;;;;;
MOEX;60;20211206;200000;156,21;;;;;;;;
MOEX;60;20211206;210000;156,6;;;;;;;;
MOEX;60;20211206;220000;156,78;;;;;;;;
MOEX;60;20211206;230000;156,32;;;;;;;;
MOEX;60;20211207;0;156,7;;;;;;;;
MOEX;60;20211207;80000;156,71;;;;;;;;
MOEX;60;20211207;90000;156,69;;;;;;;;
MOEX;60;20211207;100000;156,61;;;;;;;;
MOEX;60;20211207;110000;155,5;;;;;;;;
MOEX;60;20211207;120000;154,65;;;;;;;;
MOEX;60;20211207;130000;156,33;;;;;;;;
MOEX;60;20211207;140000;157,91;;;;;;;;
MOEX;60;20211207;150000;157,56;;;;;;;;
MOEX;60;20211207;160000;158,07;;;;;;;;
MOEX;60;20211207;170000;157,58;;;;;;;;
MOEX;60;20211207;180000;158,65;;;;;;;;
MOEX;60;20211207;190000;160,08;;;;;;;;
MOEX;60;20211207;200000;159,86;;;;;;;;
MOEX;60;20211207;210000;159,65;;;;;;;;
MOEX;60;20211207;220000;159,49;;;;;;;;
MOEX;60;20211207;230000;160,02;;;;;;;;
MOEX;60;20211208;0;160,24;;;;;;;;
MOEX;60;20211208;80000;161;;;;;;;;
MOEX;60;20211208;90000;161;;;;;;;;
MOEX;60;20211208;100000;161,43;;;;;;;;
MOEX;60;20211208;110000;159,79;;;;;;;;
MOEX;60;20211208;120000;159,8;;;;;;;;
MOEX;60;20211208;130000;159,01;;;;;;;;
MOEX;60;20211208;140000;158,37;;;;;;;;
MOEX;60;20211208;150000;159,93;;;;;;;;
MOEX;60;20211208;160000;158,49;;;;;;;;
MOEX;60;20211208;170000;158,16;;;;;;;;
MOEX;60;20211208;180000;158,19;;;;;;;;
MOEX;60;20211208;190000;155,6;;;;;;;;
MOEX;60;20211208;200000;156,91;;;;;;;;
MOEX;60;20211208;210000;156,81;;;;;;;;
MOEX;60;20211208;220000;156,78;;;;;;;;
MOEX;60;20211208;230000;156,66;;;;;;;;
MOEX;60;20211209;0;156,5;;;;;;;;
MOEX;60;20211209;80000;156,69;;;;;;;;
MOEX;60;20211209;90000;156,75;;;;;;;;
MOEX;60;20211209;100000;156,4;;;;;;;;
MOEX;60;20211209;110000;155,09;;;;;;;;
MOEX;60;20211209;120000;155;;;;;;;;
MOEX;60;20211209;130000;155,24;;;;;;;;
MOEX;60;20211209;140000;154,61;;;;;;;;
MOEX;60;20211209;150000;154,2;;;;;;;;
MOEX;60;20211209;160000;153,91;;;;;;;;
MOEX;60;20211209;170000;154,35;;;;;;;;
MOEX;60;20211209;180000;154,3;;;;;;;;
MOEX;60;20211209;190000;154,5;;;;;;;;
MOEX;60;20211209;200000;154,3;;;;;;;;
MOEX;60;20211209;210000;154,42;;;;;;;;
MOEX;60;20211209;220000;154,31;;;;;;;;
MOEX;60;20211209;230000;153,95;;;;;;;;
MOEX;60;20211210;0;154,22;;;;;;;;
MOEX;60;20211210;80000;153,51;;;;;;;;
MOEX;60;20211210;90000;153,39;;;;;;;;
MOEX;60;20211210;100000;153,3;;;;;;;;
MOEX;60;20211210;110000;152,84;;;;;;;;
MOEX;60;20211210;120000;151,24;;;;;;;;
MOEX;60;20211210;130000;152,03;;;;;;;;
MOEX;60;20211210;140000;151,92;;;;;;;;
MOEX;60;20211210;150000;152,34;;;;;;;;
MOEX;60;20211210;160000;152,45;;;;;;;;
MOEX;60;20211210;170000;152,11;;;;;;;;
MOEX;60;20211210;180000;151,79;;;;;;;;
MOEX;60;20211210;190000;152;;;;;;;;
MOEX;60;20211210;200000;152,2;;;;;;;;
MOEX;60;20211210;210000;152,09;;;;;;;;
MOEX;60;20211210;220000;152,18;;;;;;;;
MOEX;60;20211210;230000;152,45;;;;;;;;
MOEX;60;20211211;0;152,53;;;;;;;;
MOEX;60;20211213;80000;153,26;;;;;;;;
MOEX;60;20211213;90000;152,8;;;;;;;;
MOEX;60;20211213;100000;153,6;;;;;;;;
MOEX;60;20211213;110000;150,75;;;;;;;;
MOEX;60;20211213;120000;149,95;;;;;;;;
MOEX;60;20211213;130000;151,87;;;;;;;;
MOEX;60;20211213;140000;152,04;;;;;;;;
MOEX;60;20211213;150000;151,89;;;;;;;;
MOEX;60;20211213;160000;150,07;;;;;;;;
MOEX;60;20211213;170000;149,22;;;;;;;;
MOEX;60;20211213;180000;148,32;;;;;;;;
MOEX;60;20211213;190000;149,2;;;;;;;;
MOEX;60;20211213;200000;148,6;;;;;;;;
MOEX;60;20211213;210000;149,05;;;;;;;;
MOEX;60;20211213;220000;148,24;;;;;;;;
MOEX;60;20211213;230000;148,2;;;;;;;;
MOEX;60;20211214;0;148,15;;;;;;;;
MOEX;60;20211214;80000;142,91;;;;;;;;
MOEX;60;20211214;90000;143,36;;;;;;;;
MOEX;60;20211214;100000;144,5;;;;;;;;
MOEX;60;20211214;110000;145,03;;;;;;;;
MOEX;60;20211214;120000;146,78;;;;;;;;
MOEX;60;20211214;130000;145,88;;;;;;;;
MOEX;60;20211214;140000;147,13;;;;;;;;
MOEX;60;20211214;150000;146,49;;;;;;;;
MOEX;60;20211214;160000;145,92;;;;;;;;
MOEX;60;20211214;170000;146,38;;;;;;;;
MOEX;60;20211214;180000;147,25;;;;;;;;
MOEX;60;20211214;190000;147,07;;;;;;;;
MOEX;60;20211214;200000;147,1;;;;;;;;
MOEX;60;20211214;210000;147,49;;;;;;;;
MOEX;60;20211214;220000;147,88;;;;;;;;
MOEX;60;20211214;230000;148,6;;;;;;;;
MOEX;60;20211215;0;148,06;;;;;;;;
MOEX;60;20211215;80000;148,95;;;;;;;;
MOEX;60;20211215;90000;149,18;;;;;;;;
MOEX;60;20211215;100000;148,96;;;;;;;;
MOEX;60;20211215;110000;146,49;;;;;;;;
MOEX;60;20211215;120000;147,39;;;;;;;;
MOEX;60;20211215;130000;147,28;;;;;;;;
MOEX;60;20211215;140000;145,77;;;;;;;;
MOEX;60;20211215;150000;144,97;;;;;;;;
MOEX;60;20211215;160000;145,65;;;;;;;;
MOEX;60;20211215;170000;145,33;;;;;;;;
MOEX;60;20211215;180000;144,96;;;;;;;;
MOEX;60;20211215;190000;145,13;;;;;;;;
MOEX;60;20211215;200000;145,25;;;;;;;;
MOEX;60;20211215;210000;145,46;;;;;;;;
MOEX;60;20211215;220000;145,7;;;;;;;;
MOEX;60;20211215;230000;146,15;;;;;;;;
MOEX;60;20211216;0;147;;;;;;;;
MOEX;60;20211216;80000;147,32;;;;;;;;
MOEX;60;20211216;90000;148,08;;;;;;;;
MOEX;60;20211216;100000;148,56;;;;;;;;
MOEX;60;20211216;110000;147,17;;;;;;;;
MOEX;60;20211216;120000;148,13;;;;;;;;
MOEX;60;20211216;130000;148,33;;;;;;;;
MOEX;60;20211216;140000;148,52;;;;;;;;
MOEX;60;20211216;150000;148,99;;;;;;;;
MOEX;60;20211216;160000;148,98;;;;;;;;
MOEX;60;20211216;170000;148,56;;;;;;;;
MOEX;60;20211216;180000;147,26;;;;;;;;
MOEX;60;20211216;190000;148,21;;;;;;;;
MOEX;60;20211216;200000;148;;;;;;;;
MOEX;60;20211216;210000;148;;;;;;;;
MOEX;60;20211216;220000;148,55;;;;;;;;
MOEX;60;20211216;230000;147,77;;;;;;;;
MOEX;60;20211217;0;147,75;;;;;;;;
MOEX;60;20211217;80000;147,87;;;;;;;;
MOEX;60;20211217;90000;148,06;;;;;;;;
MOEX;60;20211217;100000;147,85;;;;;;;;
MOEX;60;20211217;110000;145,75;;;;;;;;
MOEX;60;20211217;120000;146,18;;;;;;;;
MOEX;60;20211217;130000;146,55;;;;;;;;
MOEX;60;20211217;140000;147,4;;;;;;;;
MOEX;60;20211217;150000;146,92;;;;;;;;
MOEX;60;20211217;160000;146,93;;;;;;;;
MOEX;60;20211217;170000;147,5;;;;;;;;
MOEX;60;20211217;180000;147,38;;;;;;;;
MOEX;60;20211217;190000;147,13;;;;;;;;
MOEX;60;20211217;200000;147,21;;;;;;;;
MOEX;60;20211217;210000;147,51;;;;;;;;
MOEX;60;20211217;220000;147,33;;;;;;;;
MOEX;60;20211217;230000;147,33;;;;;;;;
MOEX;60;20211218;0;147,48;;;;;;;;
MOEX;60;20211220;80000;146,38;;;;;;;;
MOEX;60;20211220;90000;145,75;;;;;;;;
MOEX;60;20211220;100000;145,29;;;;;;;;
MOEX;60;20211220;110000;144,42;;;;;;;;
MOEX;60;20211220;120000;144,69;;;;;;;;
MOEX;60;20211220;130000;144,17;;;;;;;;
MOEX;60;20211220;140000;144,17;;;;;;;;
MOEX;60;20211220;150000;144,58;;;;;;;;
MOEX;60;20211220;160000;144,16;;;;;;;;
MOEX;60;20211220;170000;144,07;;;;;;;;
MOEX;60;20211220;180000;144;;;;;;;;
MOEX;60;20211220;190000;144,49;;;;;;;;
MOEX;60;20211220;200000;145;;;;;;;;
MOEX;60;20211220;210000;145,25;;;;;;;;
MOEX;60;20211220;220000;145,5;;;;;;;;
MOEX;60;20211220;230000;146,24;;;;;;;;
MOEX;60;20211221;0;145,72;;;;;;;;
MOEX;60;20211221;80000;146,47;;;;;;;;
MOEX;60;20211221;90000;146,74;;;;;;;;
MOEX;60;20211221;100000;146,47;;;;;;;;
MOEX;60;20211221;110000;144,87;;;;;;;;
MOEX;60;20211221;120000;145,25;;;;;;;;
MOEX;60;20211221;130000;145,28;;;;;;;;
MOEX;60;20211221;140000;145,43;;;;;;;;
MOEX;60;20211221;150000;144,84;;;;;;;;
MOEX;60;20211221;160000;145,64;;;;;;;;
MOEX;60;20211221;170000;145,24;;;;;;;;
MOEX;60;20211221;180000;144,87;;;;;;;;
MOEX;60;20211221;190000;144,75;;;;;;;;
MOEX;60;20211221;200000;145,33;;;;;;;;
MOEX;60;20211221;210000;145,26;;;;;;;;
MOEX;60;20211221;220000;145,68;;;;;;;;
MOEX;60;20211221;230000;145,49;;;;;;;;
MOEX;60;20211222;0;145,3;;;;;;;;
MOEX;60;20211222;80000;145,66;;;;;;;;
MOEX;60;20211222;90000;145,6;;;;;;;;
MOEX;60;20211222;100000;145,26;;;;;;;;
MOEX;60;20211222;110000;145,42;;;;;;;;
MOEX;60;20211222;120000;145,39;;;;;;;;
MOEX;60;20211222;130000;145,75;;;;;;;;
MOEX;60;20211222;140000;145,9;;;;;;;;
MOEX;60;20211222;150000;146,11;;;;;;;;
MOEX;60;20211222;160000;146,73;;;;;;;;
MOEX;60;20211222;170000;146,79;;;;;;;;
MOEX;60;20211222;180000;147,21;;;;;;;;
MOEX;60;20211222;190000;147,9;;;;;;;;
MOEX;60;20211222;200000;147,45;;;;;;;;
MOEX;60;20211222;210000;147,53;;;;;;;;
MOEX;60;20211222;220000;147,53;;;;;;;;
MOEX;60;20211222;230000;147,1;;;;;;;;
MOEX;60;20211223;0;146,7;;;;;;;;
MOEX;60;20211223;80000;147,58;;;;;;;;
MOEX;60;20211223;90000;147,48;;;;;;;;
MOEX;60;20211223;100000;148,4;;;;;;;;
MOEX;60;20211223;110000;146,51;;;;;;;;
MOEX;60;20211223;120000;147,36;;;;;;;;
MOEX;60;20211223;130000;147,79;;;;;;;;
MOEX;60;20211223;140000;148;;;;;;;;
MOEX;60;20211223;150000;148,54;;;;;;;;
MOEX;60;20211223;160000;148,23;;;;;;;;
MOEX;60;20211223;170000;149,17;;;;;;;;
MOEX;60;20211223;180000;149,13;;;;;;;;
MOEX;60;20211223;190000;149,75;;;;;;;;
MOEX;60;20211223;200000;149,47;;;;;;;;
MOEX;60;20211223;210000;149,71;;;;;;;;
MOEX;60;20211223;220000;149,72;;;;;;;;
MOEX;60;20211223;230000;149,41;;;;;;;;
MOEX;60;20211224;0;149,19;;;;;;;;
MOEX;60;20211224;80000;150,53;;;;;;;;
MOEX;60;20211224;90000;151,62;;;;;;;;
MOEX;60;20211224;100000;152,77;;;;;;;;
MOEX;60;20211224;110000;151,82;;;;;;;;
MOEX;60;20211224;120000;149,85;;;;;;;;
