<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>;;;;;;
MOEX;D;20211206;0;156,7;7302290;;;;;;
MOEX;D;20211207;0;160,24;12235630;;43314130,2;;;158,47;
MOEX;D;20211208;0;156,5;8337460;;-31182100,4;-20788119,76;;158,37;
MOEX;D;20211209;0;154,22;7114230;;-16220444,4;-3884256,348;;155,36;
MOEX;D;20211210;0;152,53;5902250;;-9974802,5;-5355116,217;;153,375;
MOEX;D;20211213;0;148,15;9695760;;-42467428,8;-26526580,46;;150,34;
MOEX;D;20211214;0;148,06;12752420;;-1147717,8;8077048,287;;148,105;
MOEX;D;20211215;0;147;12598640;;-13354558,4;-11595388,36;;147,53;
MOEX;D;20211216;0;147,75;13357690;;10018267,5;10543974,45;;147,375;
MOEX;D;20211217;0;147,48;14051230;;-3793832,1;-6043879,551;;147,615;
MOEX;D;20211220;0;145,72;8909190;;-15680174,4;-8438823,083;;146,6;
MOEX;D;20211221;0;145,3;5938490;;-2494165,8;1150163,828;;145,51;
MOEX;D;20211222;0;146,7;6101130;;8541582;5311000,057;;146;150,4884615
MOEX;D;20211223;0;149,19;9933320;;24733966,8;14718977,85;3533294,838;147,945;149,9107692
MOEX;D;20211224;0;149,53;6319590;;2148660,6;-3473885,549;-2721586,919;149,36;149,0869231
MOEX;D;20211227;0;151,7;7256520;;15746648,4;11655727,45;4582309,987;150,615;148,7176923
MOEX;D;20211228;0;151,42;7215620;;-2020373,6;-5232158,217;-4216319,075;151,56;148,5023077
MOEX;D;20211229;0;152,57;5271050;;6061707,5;5785191,072;4479945,993;151,995;148,5053846
MOEX;D;20211230;0;153,22;5319850;;3457902,5;376871,3093;-3345967,637;152,895;148,8953846
MOEX;D;20220103;0;156,46;3937170;;12756430,8;8378663,43;4690319,517;154,84;149,5415385
MOEX;D;20220104;0;155,95;7437800;;-3793278;-5321739,81;-4562170,729;156,205;150,23
MOEX;D;20220105;0;148,24;10794190;;-83223204,9;-53708223,33;-7978597,218;152,095;150,2676923
MOEX;D;20220106;0;149,02;10596370;;8265168,6;23412853,51;8019535,987;148,63;150,3861538
MOEX;D;20220110;0;145,3;13598460;;-50586271,2;-41528465,3;-14100498,16;147,16;150,3538462
MOEX;D;20220111;0;150,03;12566770;;59440822,1;53470036,5;20577687,29;147,665;150,7176923
MOEX;D;20220112;0;151,38;9701580;;13097133;-9091923,5;-15766998,68;150,705;151,0776923
MOEX;D;20220113;0;147,65;13781330;;-51404360,9;-31238932,77;6171090,169;149,515;150,9592308
MOEX;D;20220114;0;144,27;26874470;;-90835708,6;-50144161,48;-18266035,66;145,96;150,5546154
MOEX;D;20220117;0;139,32;23172430;;-114703528,5;-59754298,51;-729616,3633;141,795;149,6023077
MOEX;D;20220118;0;132;30126990;;-220529566,8;-127101611,7;-30878838,37;135,66;148,1084615
MOEX;D;20220119;0;138,64;27393510;;181892906,4;163629141,5;52452276,66;135,32;147,0369231
MOEX;D;20220120;0;144;21942390;;117611210,4;23864426,43;-28157492,8;141,32;146,3276923
MOEX;D;20220121;0;145,98;20543350;;40675833;19162413,19;29945827,11;144,99;145,5215385
